Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount,Name,Email,Phone,City,Country,Title,Author,Genre,Published_Year,Price,Stock,Year,Price_Category,Month
23,119,301,2023-08-04,3,64.98,Alyssa Cuevas,hholland@gmail.com,1234568009,Lake Victormouth,Serbia,Polarized high-level installation,John Davidson,Fantasy,1975,21.66,77,2023,Medium,8
24,266,192,2023-07-10,3,145.11,Robert Myers,hmoore@ortiz.com,1234568156,Ortizfurt,Falkland Islands (Malvinas),Phased solution-oriented collaboration,Nicholas Roth,Romance,1930,48.37,71,2023,Expensive,7
25,265,250,2023-05-25,10,126.5,Cassandra Cole,mckenziealfred@gmail.com,1234568155,Port Erinberg,Iraq,Devolved incremental intranet,Jessica Lopez,Science Fiction,1918,12.65,13,2023,Cheap,5
26,294,407,2023-06-11,1,42.19,Wesley Parks,dnoble@gmail.com,1234568184,Angelaside,Mali,Mandatory executive groupware,Michelle Bell,Romance,1947,42.19,50,2023,Expensive,6
27,310,156,2024-12-03,1,31.68,Jennifer Lopez,daltonerika@thompson.info,1234568200,North Emily,Libyan Arab Jamahiriya,Synergistic grid-enabled website,Brandon Black,Fiction,1953,31.68,34,2024,Medium,12
28,151,423,2024-11-27,8,205.04,Katie Lang,perezjudith@delacruz.org,1234568041,Lake Anthony,Belgium,Implemented systematic leverage,Daisy Johnson,Romance,1943,25.63,14,2024,Medium,11
29,305,446,2023-10-05,8,275.92,Jeremy Pena,kmontgomery@carroll.info,1234568195,Perrytown,New Caledonia,Open-architected 3rdgeneration budgetary management,Carolyn Schmidt,Science Fiction,1909,34.49,7,2023,Medium,10
30,438,248,2023-09-23,6,281.94,Ebony Ramos,rachel07@gmail.com,1234568328,North Stephenmouth,Tajikistan,Cross-group responsive protocol,Cathy Knight,Science Fiction,2021,46.99,68,2023,Expensive,9
31,386,279,2024-03-12,8,244.0,Pamela Gordon,mandy28@thomas-white.com,1234568276,East Richardburgh,Yemen,Upgradable radical adapter,Elizabeth Wilson,Non-Fiction,2008,30.5,28,2024,Medium,3
32,292,313,2024-12-06,4,188.64,Lindsey Roberts,erinkelly@robinson.com,1234568182,Lambertfort,Armenia,Profound client-driven paradigm,Nicole Olson,Non-Fiction,1997,47.16,53,2024,Expensive,12
33,478,253,2024-04-15,5,58.3,Spencer Rivera,candiceclayton@gmail.com,1234568368,Joshuabury,Grenada,Horizontal didactic structure,Robert Rodriguez,Fiction,1961,11.66,21,2024,Cheap,4
34,463,146,2024-06-27,3,43.5,Brandon Dunn,martinezdarren@hotmail.com,1234568353,East Lindsey,Saint Kitts and Nevis,Stand-alone hybrid framework,Ethan Kennedy,Non-Fiction,1903,14.5,91,2024,Cheap,6
35,303,172,2023-07-08,5,184.1,Jose Lee,russellthomas@thomas-perkins.com,1234568193,East Erikatown,Iran,Centralized homogeneous open system,Dennis Smith,Biography,1977,36.82,97,2023,Expensive,7
36,417,260,2024-01-21,9,446.31,Melissa Frey,floresricardo@smith.org,1234568307,Erikaberg,Bahamas,Business-focused methodical application,Brian King,Fiction,1907,49.59,10,2024,Expensive,1
37,110,411,2023-12-27,4,60.12,Rachel Phillips,jgutierrez@gmail.com,1234568000,Chelseachester,Serbia,Profit-focused solution-oriented open system,Aaron Hall Jr.,Romance,2012,15.03,83,2023,Medium,12
38,15,466,2023-06-26,4,148.68,Vanessa Gaines,tbullock@gmail.com,1234567905,Rodriguezmouth,Wallis and Futuna,Multi-channeled mission-critical initiative,Michelle Hanson,Fantasy,2015,37.17,93,2023,Expensive,6
39,488,422,2024-08-03,8,367.28,Gerald Miranda,gregsmith@hotmail.com,1234568378,North Brian,Heard Island and McDonald Islands,Grass-roots systematic moderator,Joyce Patton,Fantasy,1919,45.91,39,2024,Expensive,8
40,120,450,2024-07-03,2,91.5,Rita Wallace,catherinehayes@hotmail.com,1234568010,Lake Eric,Zimbabwe,Reactive high-level framework,Miguel Smith,Non-Fiction,1935,45.75,18,2024,Expensive,7
41,418,147,2024-05-05,8,361.6,Kiara Blankenship MD,grahamvictor@sutton.com,1234568308,Brandimouth,Belarus,Innovative empowering concept,Brad Vasquez,Science Fiction,1964,45.2,74,2024,Expensive,5
42,415,70,2023-09-19,3,70.35,James Ramirez,robert54@hall.com,1234568305,Maxwelltown,Canada,Customer-focused context-sensitive process improvement,Mary Warren,Science Fiction,2021,23.45,19,2023,Medium,9
43,199,305,2024-03-25,7,221.62,Anthony Simmons,brittanyellis@davis-scott.com,1234568089,East Sandra,Micronesia,Down-sized bandwidth-monitored open system,Susan Robbins,Fantasy,1999,31.66,27,2024,Medium,3
44,234,460,2024-07-24,5,179.4,Mr. Jamie Rosario,kimberlyjones@moore.info,1234568124,Nicoleshire,Djibouti,Optimized human-resource forecast,Rachel Travis,Romance,1900,35.88,39,2024,Expensive,7
45,470,67,2024-11-16,4,40.92,Mary Vasquez DDS,kmullins@crawford.com,1234568360,Lake Melissa,Turkey,Grass-roots zero tolerance archive,Michelle Taylor,Biography,1966,10.23,25,2024,Cheap,11
46,319,442,2023-12-08,1,48.48,Christine Lewis,natalieconrad@hotmail.com,1234568209,Port Justin,Bahrain,Enhanced grid-enabled budgetary management,Betty Cross,Non-Fiction,1993,48.48,93,2023,Expensive,12
47,6,360,2024-07-23,3,148.02,Stephen Vasquez,ricemiguel@yahoo.com,1234567896,Hamiltonstad,Rwanda,Profound tertiary encoding,Jennifer Jones,Non-Fiction,2020,49.34,73,2024,Expensive,7
48,458,477,2024-02-25,5,138.55,Yvonne Martin,alyssanash@perez-luna.net,1234568348,West Amanda,Cuba,Distributed cohesive approach,Chris Brown,Romance,2019,27.71,17,2024,Medium,2
49,322,336,2024-08-14,7,168.56,William Cameron,lharrell@mcintyre.com,1234568212,Sanchezport,Mexico,Organized high-level algorithm,Grace Waller,Fantasy,2006,24.08,26,2024,Medium,8
50,474,88,2024-04-06,1,40.22,Anthony Young,rogersbill@gmail.com,1234568364,East Chelsea,Cook Islands,Robust tangible hardware,Paul Miles,Non-Fiction,1999,40.22,32,2024,Expensive,4
51,155,491,2024-09-01,5,74.35,James Stuart,staceycohen@chen.com,1234568045,South Mariaside,Turks and Caicos Islands,Pre-emptive intangible adapter,Michael Hill,Fantasy,1910,14.87,2,2024,Cheap,9
52,173,161,2024-05-20,7,151.2,Victoria Dixon,caseytina@yahoo.com,1234568063,Annhaven,French Polynesia,Focused high-level strategy,Stephanie Sloan,Fantasy,1963,21.6,11,2024,Medium,5
53,160,242,2024-01-02,3,101.37,Robert Brooks,johnnygriffith@gmail.com,1234568050,Lake Sarahside,Finland,Business-focused responsive parallelism,Amy Reyes,Mystery,1954,33.79,38,2024,Medium,1
54,446,393,2024-09-01,3,132.0,Michael Park,gjacobs@gmail.com,1234568336,East Robert,Zimbabwe,Triple-buffered multimedia access,Nathan Ashley,Fantasy,1987,44.0,44,2024,Expensive,9
55,18,281,2024-01-11,7,114.38,David Watson,laurenlawson@alvarez-mcfarland.com,1234567908,New Josephtown,Equatorial Guinea,Fundamental object-oriented productivity,Robert Hatfield,Mystery,1931,16.34,83,2024,Medium,1
56,76,333,2024-11-06,5,138.8,Kim Wang,jonesdylan@gmail.com,1234567966,Janicemouth,Turkey,Advanced responsive extranet,Mark Chavez DDS,Fantasy,1959,27.76,29,2024,Medium,11
57,24,34,2024-12-02,2,32.98,Christina Mitchell,justin67@yahoo.com,1234567914,Bridgestown,Trinidad and Tobago,Stand-alone multimedia throughput,Jason Jefferson,Fantasy,1939,16.49,43,2024,Medium,12
58,329,369,2024-12-02,7,158.55,Miguel Jacobs,morgangeorge@buck.com,1234568219,Marshallbury,Estonia,Diverse responsive focus group,Ashley Chavez,Biography,1966,22.65,100,2024,Medium,12
59,225,188,2023-02-11,7,140.98,Christopher Mccullough,kcarlson@yahoo.com,1234568115,Port Amandahaven,Jersey,Switchable value-added conglomeration,Clinton Mcintyre MD,Science Fiction,2014,20.14,73,2023,Medium,2
60,404,49,2023-04-26,9,445.5,Lisa Duran,christina28@espinoza.com,1234568294,Lake Tyler,Korea,Robust attitude-oriented attitude,Zachary Hayes,Biography,1955,49.5,15,2023,Expensive,4
61,405,361,2024-07-02,5,198.75,Julie Smith,knightmonica@krueger-hamilton.biz,1234568295,Freemanland,Vanuatu,Optional object-oriented pricing structure,Jenna Johnson,Romance,1957,39.75,71,2024,Expensive,7
62,364,324,2024-04-06,5,230.4,Carrie Perez,chelsea23@gillespie-walker.com,1234568254,Kennethland,Hungary,Diverse dynamic contingency,James Duran,Fiction,1993,46.08,23,2024,Expensive,4
63,16,469,2024-04-13,9,209.25,Stacey Flores,jackjackson@hotmail.com,1234567906,East Michaelfurt,Saint Helena,Automated 5thgeneration customer loyalty,Kimberly Shannon,Fantasy,1967,23.25,92,2024,Medium,4
64,348,160,2024-07-19,10,344.8,Matthew Gardner,wayne40@wilkerson.com,1234568238,Gentryfort,Mozambique,Digitized cohesive emulation,Jared Cortez,Science Fiction,1924,34.48,65,2024,Medium,7
65,54,198,2023-05-06,9,201.42,Rachel Jones,bmedina@hotmail.com,1234567944,Brendafurt,Central African Republic,Persevering tertiary product,Michael Lee,Biography,1917,22.38,80,2023,Medium,5
66,180,323,2023-09-08,8,286.64,Robert Pearson,jamie14@yahoo.com,1234568070,New Robertoshire,Niger,Balanced dynamic project,Kelly Hopkins,Biography,1976,35.83,2,2023,Expensive,9
67,260,129,2023-04-20,9,366.66,Kathryn Fitzgerald,jenniferodom@gmail.com,1234568150,West Maria,Swaziland,Decentralized multi-tasking data-warehouse,Dr. Kelly Armstrong,Romance,1959,40.74,29,2023,Expensive,4
68,246,319,2023-03-21,10,426.1,Jeffery Lewis,marytorres@wolfe.biz,1234568136,Angelastad,Dominican Republic,Distributed disintermediate groupware,Michael Mckenzie,Fantasy,1964,42.61,50,2023,Expensive,3
69,261,109,2024-03-23,4,34.16,David Donovan,dguzman@hall-gentry.com,1234568151,West Justin,Slovakia (Slovak Republic),Operative foreground project,Valerie Mcfarland,Fantasy,1970,8.54,60,2024,Cheap,3
70,49,447,2023-05-29,6,217.5,Anne Dean,katrinaedwards@anderson.org,1234567939,Jonathanberg,Heard Island and McDonald Islands,Enterprise-wide empowering circuit,Steven Hutchinson,Mystery,1906,36.25,9,2023,Expensive,5
71,500,438,2024-06-11,8,267.12,James York,maydavid@maldonado.org,1234568390,Port Angela,Moldova,Synchronized mission-critical process improvement,Samantha Stewart,Science Fiction,1913,33.39,82,2024,Medium,6
72,290,5,2024-10-19,1,10.95,Sarah Cameron,egonzalez@bell.com,1234568180,West Blake,Guyana,Adaptive 5thgeneration encoding,Juan Miller,Fantasy,1956,10.95,16,2024,Cheap,10
73,411,81,2023-10-07,1,44.19,Christopher Rogers,mallory64@yahoo.com,1234568301,Lake Aaronstad,Micronesia,Team-oriented logistical analyzer,Scott Gentry,Science Fiction,2010,44.19,13,2023,Expensive,10
74,461,132,2023-04-08,10,204.6,Crystal Pierce,webbteresa@gutierrez-garcia.com,1234568351,Port Davidhaven,Denmark,Multi-lateral methodical implementation,Lauren Moore,Fantasy,1907,20.46,53,2023,Medium,4
75,291,375,2023-11-30,5,170.75,Jennifer Crosby,fmiller@yahoo.com,1234568181,Alanton,Russian Federation,Fully-configurable disintermediate solution,Cynthia Jones,Mystery,1993,34.15,55,2023,Medium,11
76,470,466,2024-09-02,10,371.7,Mary Vasquez DDS,kmullins@crawford.com,1234568360,Lake Melissa,Turkey,Multi-channeled mission-critical initiative,Michelle Hanson,Fantasy,2015,37.17,93,2024,Expensive,9
77,497,242,2024-03-20,7,236.53,Shane Klein,murphytheodore@rodriguez-lopez.biz,1234568387,West Billymouth,Cote d'Ivoire,Business-focused responsive parallelism,Amy Reyes,Mystery,1954,33.79,38,2024,Medium,3
78,44,196,2024-07-23,5,33.45,Alexis Gallegos,craig42@smith-carroll.com,1234567934,Conniefort,Lesotho,Phased context-sensitive task-force,Rachel Gibbs,Science Fiction,1934,6.69,24,2024,Cheap,7
79,134,28,2023-10-06,2,75.02,Nichole Velez,brenda93@gmail.com,1234568024,Keithberg,Uruguay,Expanded analyzing portal,Lisa Coffey,Fiction,1941,37.51,79,2023,Expensive,10
80,265,17,2023-06-04,8,42.96,Cassandra Cole,mckenziealfred@gmail.com,1234568155,Port Erinberg,Iraq,Reduced secondary core,Benjamin Peters,Fantasy,1966,5.37,45,2023,Cheap,6
81,383,325,2024-02-13,5,202.0,Tiffany Roth,jbowen@gmail.com,1234568273,South Deborah,Saint Martin,Proactive secondary help-desk,William Drake,Romance,1981,40.4,50,2024,Expensive,2
82,413,387,2023-03-08,5,237.1,Steven Brown,katherine84@hodges.com,1234568303,Elliottfort,Cameroon,Grass-roots disintermediate analyzer,Amber Davis,Non-Fiction,1979,47.42,6,2023,Expensive,3
83,457,335,2024-01-16,8,378.32,Kim Turner,jennifer45@weiss-perry.com,1234568347,South Rachelview,Cambodia,Adaptive bi-directional implementation,Alexandra Cox,Romance,1938,47.29,23,2024,Expensive,1
84,280,49,2024-07-05,6,297.0,Robert Perkins,drangel@gmail.com,1234568170,New Ronaldbury,Greenland,Robust attitude-oriented attitude,Zachary Hayes,Biography,1955,49.5,15,2024,Expensive,7
85,75,31,2023-03-14,9,191.07,Carla Webb,jennifer35@mann.biz,1234567965,Jasonmouth,Gabon,Implemented encompassing conglomeration,Melissa Taylor,Fiction,2010,21.23,44,2023,Medium,3
86,361,441,2024-04-28,3,122.16,Joseph Davis,hendricksaustin@gmail.com,1234568251,Carolyntown,Panama,Streamlined 6thgeneration collaboration,Susan Reeves,Science Fiction,2013,40.72,65,2024,Expensive,4
87,167,435,2024-07-11,2,55.52,Justin Spencer,michaelsnyder@gmail.com,1234568057,Christopherchester,South Africa,Inverse grid-enabled attitude,Kara Schwartz,Fantasy,1939,27.76,10,2024,Medium,7
88,126,262,2023-04-16,5,105.1,Bonnie Mcdonald,david81@shelton.com,1234568016,South Dianafurt,Myanmar,Team-oriented content-based adapter,Dr. Kimberly Stevenson DVM,Biography,1979,21.02,86,2023,Medium,4
89,305,113,2024-08-06,2,12.76,Jeremy Pena,kmontgomery@carroll.info,1234568195,Perrytown,New Caledonia,Versatile value-added structure,Jackson Hill,Science Fiction,1936,6.38,76,2024,Cheap,8
90,457,137,2023-12-23,6,157.98,Kim Turner,jennifer45@weiss-perry.com,1234568347,South Rachelview,Cambodia,Networked contextually-based encryption,Leslie Montoya,Biography,1942,26.33,1,2023,Medium,12
91,226,142,2024-10-13,10,489.6,Kevin Collins,smithclinton@goodman-jackson.com,1234568116,Thomaschester,San Marino,Multi-tiered responsive parallelism,Amanda Wilson,Fiction,1940,48.96,11,2024,Expensive,10
92,329,325,2023-02-24,5,202.0,Miguel Jacobs,morgangeorge@buck.com,1234568219,Marshallbury,Estonia,Proactive secondary help-desk,William Drake,Romance,1981,40.4,50,2023,Expensive,2
93,366,427,2024-10-23,3,54.0,Kurt Greer,burkekathryn@hotmail.com,1234568256,East Stephaniefort,India,Ergonomic zero-defect software,Denise Mclaughlin,Fantasy,1965,18.0,46,2024,Medium,10
94,136,88,2024-07-06,6,241.32,Samantha Callahan,billysmith@yahoo.com,1234568026,Popeberg,Anguilla,Robust tangible hardware,Paul Miles,Non-Fiction,1999,40.22,32,2024,Expensive,7
95,447,426,2023-10-26,1,32.82,Emily Wilkerson,jchaney@yahoo.com,1234568337,Parkerside,Zimbabwe,Triple-buffered upward-trending artificial intelligence,John Shannon,Biography,2021,32.82,98,2023,Medium,10
96,456,336,2023-08-09,8,192.64,Stacy Mendoza,mccarthycathy@gmail.com,1234568346,Pamelaland,New Zealand,Organized high-level algorithm,Grace Waller,Fantasy,2006,24.08,26,2023,Medium,8
97,408,221,2023-07-15,10,248.1,Crystal Miller,jose68@vasquez.org,1234568298,Sheltonton,Cuba,Re-engineered solution-oriented extranet,Robert Castaneda,Biography,1988,24.81,2,2023,Medium,7
98,429,352,2023-12-15,1,6.01,Rhonda Norton,crystalnoble@gmail.com,1234568319,South Timothy,Tajikistan,Intuitive intermediate paradigm,Scott Bowman MD,Science Fiction,1927,6.01,97,2023,Cheap,12
99,166,250,2023-04-20,3,37.95,John Delacruz,dhurley@walsh.biz,1234568056,Port Timothy,Monaco,Devolved incremental intranet,Jessica Lopez,Science Fiction,1918,12.65,13,2023,Cheap,4
100,207,63,2023-07-14,1,22.38,Sarah Williams,dorseymichael@garcia-smith.com,1234568097,Barbarahaven,United Kingdom,Polarized heuristic database,Franklin Mack,Fiction,1989,22.38,56,2023,Medium,7
101,154,344,2023-01-09,1,39.63,Kristin Montoya,petersonvictoria@hawkins.org,1234568044,Port Theresa,Guernsey,Optimized holistic approach,Brittney Brown,Romance,1990,39.63,27,2023,Expensive,1
102,295,300,2023-05-10,9,241.83,Paul Morales,qsmith@hotmail.com,1234568185,Gonzalestown,Vietnam,Integrated fresh-thinking toolset,Joseph Jensen,Non-Fiction,1962,26.87,77,2023,Medium,5
103,103,21,2024-02-07,3,141.39,Ashley Castro,watsonmolly@yahoo.com,1234567993,Leeport,Swaziland,Down-sized static interface,Todd Brown,Biography,1925,47.13,87,2024,Expensive,2
104,182,316,2024-01-18,9,79.29,Randy Oliver,robbinsmicheal@cox.com,1234568072,Adrianafort,Sudan,Multi-tiered client-server methodology,Rebecca Chavez,Fantasy,1992,8.81,74,2024,Cheap,1
105,125,306,2022-12-20,2,87.84,Rebecca Perez,udavis@patton.com,1234568015,Michelleview,Sri Lanka,Phased didactic product,Elizabeth Koch,Biography,1988,43.92,56,2022,Expensive,12
106,334,449,2023-10-07,3,120.51,Amy Hahn,wangjason@gmail.com,1234568224,North Tannerville,Serbia,Universal homogeneous adapter,Gina Lopez,Romance,1966,40.17,1,2023,Expensive,10
107,10,330,2024-10-20,6,192.12,Ronald Osborn,staciekelley@heath.com,1234567900,Lake Benjamin,Cameroon,Assimilated user-facing approach,Roy Wolf,Biography,1990,32.02,25,2024,Medium,10
108,281,430,2024-05-25,6,71.4,Jennifer Booker,idiaz@hotmail.com,1234568171,Katietown,Malawi,Quality-focused methodical matrix,Dennis Hernandez,Mystery,1922,11.9,76,2024,Cheap,5
109,486,368,2024-11-19,2,89.2,Melanie Kelly,eric02@johnson.com,1234568376,East Karenmouth,Ukraine,Stand-alone logistical installation,Elizabeth Williams,Biography,1913,44.6,97,2024,Expensive,11
110,7,16,2023-04-30,1,10.07,Susan Hicks,jeffrey91@yahoo.com,1234567897,East Rebecca,Montenegro,Vision-oriented tangible project,Christopher Price,Mystery,1941,10.07,8,2023,Cheap,4
111,174,450,2024-08-25,7,320.25,Jonathon Strickland,ryan10@yahoo.com,1234568064,Bakerton,Dominica,Reactive high-level framework,Miguel Smith,Non-Fiction,1935,45.75,18,2024,Expensive,8
112,309,403,2022-12-28,2,30.02,Scott Lee,talexander@hotmail.com,1234568199,East Tracystad,United States Minor Outlying Islands,Persevering incremental strategy,David Miller,Fiction,1928,15.01,82,2022,Medium,12
113,80,255,2024-02-18,3,73.53,Joy Fisher,kentchristian@gmail.com,1234567970,West Rogerview,Tuvalu,Switchable impactful superstructure,Amber Wells,Science Fiction,1906,24.51,24,2024,Medium,2
114,362,210,2024-02-24,3,122.79,Darren Taylor,davisrebecca@webb.org,1234568252,Lake Kristen,Guinea,Centralized 6thgeneration model,Yolanda Mclean,Science Fiction,1971,40.93,51,2024,Expensive,2
115,321,136,2024-09-23,8,79.12,Charlene Arroyo,edowns@holmes-adams.org,1234568211,Wilsonstad,Slovenia,Stand-alone intangible installation,Morgan Mata,Romance,2012,9.89,84,2024,Cheap,9
116,280,447,2024-02-27,5,181.25,Robert Perkins,drangel@gmail.com,1234568170,New Ronaldbury,Greenland,Enterprise-wide empowering circuit,Steven Hutchinson,Mystery,1906,36.25,9,2024,Expensive,2
117,385,52,2023-01-24,7,115.71,Kenneth Cohen,jacquelinelee@yahoo.com,1234568275,Robinmouth,Burundi,Triple-buffered neutral adapter,Kristi Phillips,Science Fiction,2003,16.53,85,2023,Medium,1
118,37,189,2023-01-14,3,40.95,Ryan Lara,benjamin38@thompson-adams.net,1234567927,Port Jameschester,Chad,Grass-roots eco-centric task-force,Brandon Munoz,Mystery,1989,13.65,88,2023,Cheap,1
119,328,148,2023-09-24,3,36.75,Russell Thompson,moorewilliam@hughes.biz,1234568218,Hallshire,Holy See (Vatican City State),Upgradable contextually-based hierarchy,Jared Reyes,Fantasy,1941,12.25,97,2023,Cheap,9
120,101,338,2023-01-14,1,10.17,Brooke Kline,shirleythomas@allen-skinner.net,1234567991,New James,Georgia,Seamless analyzing encoding,Kevin Garcia,Mystery,1949,10.17,61,2023,Cheap,1
121,27,63,2024-03-28,6,134.28,Debbie Sampson,collin21@hotmail.com,1234567917,Christopherburgh,Bahamas,Polarized heuristic database,Franklin Mack,Fiction,1989,22.38,56,2024,Medium,3
122,136,56,2023-02-19,6,47.22,Samantha Callahan,billysmith@yahoo.com,1234568026,Popeberg,Anguilla,Integrated intermediate Internet solution,Stacy Cabrera,Mystery,1976,7.87,67,2023,Cheap,2
123,495,437,2024-03-10,5,221.45,Patrick Rivera,donaldmadden@hotmail.com,1234568385,Lake Elizabethborough,Comoros,Customizable directional matrices,Alyssa Lopez,Fiction,1960,44.29,7,2024,Expensive,3
124,272,122,2024-05-17,10,307.5,Carl Smith,davidandrade@gmail.com,1234568162,Lake Samantha,Algeria,Profound leadingedge capability,Mary French,Mystery,1992,30.75,17,2024,Medium,5
125,196,43,2024-06-05,4,189.56,Sean Brooks,james06@yahoo.com,1234568086,Phillipsbury,Cyprus,Function-based zero-defect initiative,Daniel Nunez,Romance,1952,47.39,61,2024,Expensive,6
126,88,492,2023-12-08,2,88.14,Gregory Joseph,kimangela@yahoo.com,1234567978,Fletcherview,Algeria,Implemented next generation open architecture,Marcus Spencer,Science Fiction,1984,44.07,76,2023,Expensive,12
127,267,295,2024-08-24,7,200.62,Timothy Simon,april69@vazquez.com,1234568157,New Jennifer,Algeria,Persistent disintermediate artificial intelligence,Todd Davis,Non-Fiction,1977,28.66,65,2024,Medium,8
128,197,345,2024-09-17,6,155.34,Patrick Henderson,ivelasquez@best-carey.com,1234568087,East Amandaport,Lao People's Democratic Republic,Function-based disintermediate intranet,Michael Johnson,Science Fiction,1920,25.89,78,2024,Medium,9
129,364,388,2023-08-02,1,26.62,Carrie Perez,chelsea23@gillespie-walker.com,1234568254,Kennethland,Hungary,Distributed transitional solution,Marilyn Camacho,Science Fiction,1917,26.62,5,2023,Medium,8
130,420,17,2023-05-13,1,5.37,Andrew Murray,donaldjohnson@yahoo.com,1234568310,North Joseph,Western Sahara,Reduced secondary core,Benjamin Peters,Fantasy,1966,5.37,45,2023,Cheap,5
131,16,1,2024-05-27,3,64.02,Stacey Flores,jackjackson@hotmail.com,1234567906,East Michaelfurt,Saint Helena,Configurable modular throughput,Joseph Crane,Biography,1949,21.34,100,2024,Medium,5
132,469,333,2023-11-22,7,194.32,Kimberly Vega,psmith@yahoo.com,1234568359,Daniellestad,Svalbard & Jan Mayen Islands,Advanced responsive extranet,Mark Chavez DDS,Fantasy,1959,27.76,29,2023,Medium,11
